url_prov,total_hotels,url,kabko,kabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,26,/city/pekalongan-id.html,Pekalongan,106079
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,24,/city/kebumen-id.html,Kebumen,705325
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,3631,/city/bandung-id.html,Bandung,18943
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,1242,/city/puncak-id.html,Puncak,512948
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,706,/city/bekasi-id.html,Bekasi,5152
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,576,/city/bogor-id.html,Bogor,21740
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,503,/city/depok-id.html,Depok,161893
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,313,/city/cikarang-id.html,Cikarang,161657
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,190,/city/cirebon-id.html,Cirebon,19623
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,159,/city/pangandaran-id.html,Pangandaran,106056
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,133,/city/karawang-id.html,Karawang,161814
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,101,/city/pelabuhan-ratu-id.html,Pelabuhan Ratu,214880
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,97,/city/garut-id.html,Garut,106057
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,67,/city/sukabumi-id.html,Sukabumi,12820
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,58,/city/tasikmalaya-id.html,Tasikmalaya,256223
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,33,/city/purwakarta-id.html,Purwakarta,14472
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/banyuanget-id.html,Banyuanget,710239
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/seloliman-id.html,Seloliman,734769
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/grajagan-id.html,Grajagan,734760
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/tepas-id.html,Tepas,734762
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/sarongan-id.html,Sarongan,734758
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3169,1,/city/situbondo-id.html,Situbondo,161758
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,643,/city/batam-island-id.html,Batam Island,19392
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,79,/city/bintan-island-id.html,Bintan Island,19436
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,13,/city/tanjung-balai-karimun-id.html,Tanjung Balai Karimun,705347
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,12,/city/anambas-islands-id.html,Anambas Islands,717277
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,3,/city/toapaya-asri-id.html,Toapaya Asri,734803
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,2,/city/kabil-id.html,Kabil,161807
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,2,/city/sembulang-id.html,Sembulang,734800
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,1,/city/sebong-lagoi-id.html,Sebong Lagoi,734802
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3175,1,/city/kiabu-id.html,Kiabu,734805
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,20,/city/kudus-id.html,Kudus,292865
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,16,/city/karanganyar-id.html,Karanganyar,706671
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,16,/city/cepu-id.html,Cepu,246860
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,13,/city/klaten-id.html,Klaten,512875
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,12,/city/pati-id.html,Pati,513611
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,10,/city/banjarnegara-id.html,Banjarnegara,513358
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,9,/city/rembang-id.html,Rembang,706222
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,8,/city/kendal-id.html,Kendal,513379
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,7,/city/purbalingga-id.html,Purbalingga,706696
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,6,/city/purwodadi-id.html,Purwodadi,390118
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,6,/city/pemalang-id.html,Pemalang,513061
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,5,/city/brebes-id.html,Brebes,706678
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,5,/city/patikraja-id.html,Patikraja,161732
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,5,/city/rejosari-id.html,Rejosari,734756
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,4,/city/slawi-id.html,Slawi,728075
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,3,/city/boyolali-id.html,Boyolali,669567
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,3,/city/sragen-id.html,Sragen,390128
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,30,/city/gunung-putri-id.html,Gunung Putri,719284
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,25,/city/majalengka-id.html,Majalengka,670826
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,24,/city/kuningan-id.html,Kuningan,161831
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,14,/city/palayangan-id.html,Palayangan,710776
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,13,/city/sumedang-id.html,Sumedang,513056
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,12,/city/ciamis-id.html,Ciamis,512877
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,10,/city/indramayu-id.html,Indramayu,161804
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,10,/city/panawuan-id.html,Panawuan,719283
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,9,/city/cibeureum-id.html,Cibeureum,734736
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,7,/city/ujung-genteng-id.html,Ujung Genteng,669520
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,6,/city/cianjur-id.html,Cianjur,512856
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,4,/city/kebonkacang-id.html,Kebonkacang,161817
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,3,/city/batukaras-id.html,Batukaras,710249
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,3,/city/bulak-id.html,Bulak,161644
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3167,3,/city/sukamanah-id.html,Sukamanah,161710
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,168,/city/padang-id.html,Padang,18881
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3188,156,/city/bukittinggi-id.html,Bukittinggi,19622
