url_kabko,total_hotels,url,subkabko,subkabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=106065,4,/gambiran/maps/banyuwangi-id.html,Gambiran,567598
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=106065,4,/karangrejo/maps/banyuwangi-id.html,Karangrejo,590233
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=102505,52,/prigen/maps/trawas-id.html,Prigen,94030
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=102505,26,/trawas/maps/trawas-id.html,Trawas,80640
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=102505,13,/pacet/maps/trawas-id.html,Pacet,93526
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161749,77,/jember/maps/jember-id.html,Jember,94963
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=21721,22,/mayangan/maps/probolinggo-id.html,Mayangan,535161
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=21721,13,/kanigaran/maps/probolinggo-id.html,Kanigaran,535162
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=21721,13,/kademangan/maps/probolinggo-id.html,Kademangan,535160
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=21721,3,/kedopok/maps/probolinggo-id.html,Kedopok,535164
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=21721,2,/wonoasih/maps/probolinggo-id.html,Wonoasih,535163
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=716194,294,/bromo/maps/bromo-id.html,Bromo,545322
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161752,12,/kartoharjo/maps/madiun-id.html,Kartoharjo,566902
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161752,12,/mangu-harjo/maps/madiun-id.html,Mangu Harjo,568668
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=105614,38,/kediri/maps/kediri-id.html,Kediri,93452
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=105614,3,/puncu/maps/kediri-id.html,Puncu,494517
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=390119,34,/pacitan/maps/pacitan-id.html,Pacitan,378396
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=102465,30,/mojokerto/maps/mojokerto-id.html,Mojokerto,80484
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=256216,27,/tulungagung/maps/tulungagung-id.html,Tulungagung,95028
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=713202,12,/sumenep/maps/madura-island-id.html,Sumenep,549329
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=713202,6,/pemekasan/maps/madura-island-id.html,Pemekasan,549330
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=713202,5,/sampang/maps/madura-island-id.html,Sampang,549331
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=713202,4,/bangkalan/maps/madura-island-id.html,Bangkalan,549332
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=671806,23,/bojonegoro/maps/bojonegoro-id.html,Bojonegoro,496008
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161760,22,/tuban/maps/tuban-id.html,Tuban,108957
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8026,9,/gadingrejo/maps/pasuruan-id.html,Gadingrejo,535147
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8026,3,/purworejo/maps/pasuruan-id.html,Purworejo,535148
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8026,3,/panggungrejo/maps/pasuruan-id.html,Panggungrejo,535149
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=512833,2,/jogotrunan/maps/lumajang-id.html,Jogotrunan,590245
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,543,/rawamangun/maps/jakarta-id.html,Rawamangun,496261
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,473,/pasar-minggu/maps/jakarta-id.html,Pasar Minggu,493791
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,443,/kuningan/maps/jakarta-id.html,Kuningan,70087
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,412,/menteng/maps/jakarta-id.html,Menteng,94074
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,332,/senen/maps/jakarta-id.html,Senen,70091
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,323,/cengkareng/maps/jakarta-id.html,Cengkareng,94072
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,316,/kelapa-gading/maps/jakarta-id.html,Kelapa Gading,80463
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,286,/grogol/maps/jakarta-id.html,Grogol,94504
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,281,/kemayoran/maps/jakarta-id.html,Kemayoran,70099
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,242,/kemang/maps/jakarta-id.html,Kemang,70089
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,237,/gajah-mada/maps/jakarta-id.html,Gajah Mada,94075
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,221,/pluit/maps/jakarta-id.html,Pluit,483158
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,219,/cilandak/maps/jakarta-id.html,Cilandak,58889
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,184,/airport-soekarno-hatta/maps/jakarta-id.html,Airport Soekarno Hatta,70098
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,181,/thamrin/maps/jakarta-id.html,Thamrin,70084
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,165,/mangga-dua/maps/jakarta-id.html,Mangga Dua,70094
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,159,/mampang/maps/jakarta-id.html,Mampang,80462
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,155,/slipi/maps/jakarta-id.html,Slipi,70090
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,154,/kebon-jeruk/maps/jakarta-id.html,Kebon Jeruk,519724
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,143,/senayan/maps/jakarta-id.html,Senayan,70086
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,138,/sudirman/maps/jakarta-id.html,Sudirman,70085
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,126,/pondok-indah/maps/jakarta-id.html,Pondok Indah,94542
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,125,/cawang/maps/jakarta-id.html,Cawang,499730
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,117,/mangga-besar/maps/jakarta-id.html,Mangga Besar,70096
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,99,/sunter/maps/jakarta-id.html,Sunter,519365
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,95,/blok-m/maps/jakarta-id.html,Blok M,70088
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=8691,74,/tebet/maps/jakarta-id.html,Tebet,484053
